route_id,stop_sequence,stop_name,community,node_id,stop_lat,stop_lon,location_type,location_precision
bus:cvx-66,1,Village Green Mall (Duncan),Duncan,duncan,48.77465,-123.7016,town,stop
bus:cvx-66,2,Deloume Park & Ride (Mill Bay),Mill Bay,mill-bay,48.6513,-123.5617,town,stop
bus:cvx-66,3,Legislature Exchange (Downtown Victoria),Victoria,victoria,48.42771,-123.36446,town,stop
bus:ebus-calgary,1,Vancouver Pacific Central,Vancouver Pacific Central,pacific-central-station,49.27314,-123.10044,town,stop
bus:ebus-calgary,2,Surrey,Surrey,surrey,49.191634,-122.850061,town,community centroid
bus:ebus-calgary,3,Abbotsford Airport,Abbotsford Airport,abbotsford-airport,49.0253,-122.3606,town,stop
bus:ebus-calgary,4,Chilliwack,Chilliwack,chilliwack,49.157778,-121.950833,town,community centroid
bus:ebus-calgary,5,Hope,Hope,hope,49.38,-121.441389,town,community centroid
bus:ebus-calgary,6,Merritt,Merritt,merritt,50.1125,-120.788333,town,community centroid
bus:ebus-calgary,7,Kamloops,Kamloops,kamloops,50.675833,-120.339444,town,community centroid
bus:ebus-calgary,8,Chase,Chase,chase,50.819167,-119.686111,town,community centroid
bus:ebus-calgary,9,Sorrento,Sorrento,sorrento,50.876944,-119.466944,town,community centroid
bus:ebus-calgary,10,Salmon Arm,Salmon Arm,salmon-arm,50.699846,-119.267891,town,community centroid
bus:ebus-calgary,11,Sicamous,Sicamous,sicamous,50.836111,-118.98,town,community centroid
bus:ebus-calgary,12,Revelstoke,Revelstoke,revelstoke,50.998175,-118.19605,town,community centroid
bus:ebus-calgary,13,Golden,Golden,golden,51.297778,-116.964722,town,community centroid
bus:ebus-calgary,14,Lake Louise AB,Lake Louise AB,lake-louise-ab,51.4254,-116.1773,town,stop
bus:ebus-calgary,15,Banff AB,Banff AB,banff-ab,51.1784,-115.5708,town,stop
bus:ebus-calgary,16,Canmore AB,Canmore AB,canmore-ab,51.0899,-115.3592,town,stop
bus:ebus-calgary,17,Calgary AB,Calgary AB,calgary-ab,51.0447,-114.0719,town,stop
bus:flixbus-seattle,1,Vancouver Waterfront Station,Vancouver Waterfront Station,waterfront,49.28591,-123.11151,town,stop
bus:flixbus-seattle,2,Vancouver Pacific Central,Vancouver Pacific Central,pacific-central-station,49.27314,-123.10044,town,stop
bus:flixbus-seattle,3,Bellingham WA,Bellingham WA,bellingham-wa,48.7519,-122.4787,town,stop
