from_community,from_id,to_community,to_id,crow_km,bike_reachable,bike_reachable_without_flying,n_options,n_options_with_bike,n_options_without_flying,boardings,modes,operators,journey_km,schedule_cautions,everyday_option_exists,recommended_summary,recommended_boardings,recommended_modes,recommended_operators,recommended_journey_km,recommended_schedule_cautions
Maple Ridge,maple-ridge,West Kelowna,west-kelowna,225,TRUE,TRUE,5,5,4,3,local-train; local-bus; bus,TransLink (West Coast Express); BC Transit; Ebus,286.6,limited,TRUE,"City bus, SkyTrain, then coach bus.",3,local-bus; skytrain; bus,TransLink; Ebus,,
Maple Ridge,maple-ridge,West Vancouver,west-vancouver,41,TRUE,TRUE,12,12,12,2,local-train; bus,TransLink (West Coast Express); Squamish Connector,46.3,limited; seasonal,TRUE,"City bus, SkyTrain, SeaBus, then city bus.",4,local-bus; skytrain; ferry; local-bus,TransLink; TransLink (SeaBus),,
Maple Ridge,maple-ridge,Whistler,whistler,104,TRUE,TRUE,3,3,2,3,local-bus; skytrain; bus,TransLink; YVR Skylynx,,seasonal,FALSE,"City bus, SkyTrain, then coach bus.",3,local-bus; skytrain; bus,TransLink; YVR Skylynx,,seasonal
Maple Ridge,maple-ridge,Williams Lake,williams-lake,326,TRUE,TRUE,6,6,5,4,local-train; local-bus; bus; bus,TransLink (West Coast Express); BC Transit; Ebus,520.9,limited,FALSE,"City bus, SkyTrain, coach bus, then coach bus.",4,local-bus; skytrain; bus; bus,TransLink; Ebus,,limited
Mayne Island,mayne-island,Abbotsford,abbotsford,79,TRUE,TRUE,7,7,7,4,ferry; local-bus; skytrain; bus,BC Ferries; TransLink; BC Transit,,,TRUE,"Ferry, city bus, SkyTrain, then city bus.",4,ferry; local-bus; skytrain; local-bus,BC Ferries; TransLink; BC Transit,,
Mayne Island,mayne-island,Alert Bay,alert-bay,324,TRUE,FALSE,5,4,0,,,,,,,"Ferry, city bus, city bus, city bus, city bus, rental car, city bus, then ferry.",8,ferry; local-bus; local-bus; local-bus; local-bus; rental-car; local-bus; ferry,BC Ferries; BC Transit; National Car & Truck Rental (Vancouver Island),507.0,limited
Mayne Island,mayne-island,Armstrong,armstrong,346,TRUE,TRUE,7,7,6,5,ferry; local-bus; skytrain; bus; bus,BC Ferries; TransLink; Ebus,,,TRUE,"Ferry, city bus, SkyTrain, coach bus, then coach bus.",5,ferry; local-bus; skytrain; bus; bus,BC Ferries; TransLink; Ebus,,
Mayne Island,mayne-island,Barkerville,barkerville,487,TRUE,TRUE,4,4,3,6,ferry; local-bus; skytrain; bus; bus; local-bus,BC Ferries; TransLink; Ebus; BC Transit,,limited,FALSE,"Ferry, city bus, SkyTrain, coach bus, coach bus, then city bus.",6,ferry; local-bus; skytrain; bus; bus; local-bus,BC Ferries; TransLink; Ebus; BC Transit,,limited
Mayne Island,mayne-island,Bella Bella,bella-bella,502,TRUE,FALSE,5,4,0,,,,,,,"Ferry, city bus, city bus, city bus, city bus, rental car, then ferry.",7,ferry; local-bus; local-bus; local-bus; local-bus; rental-car; ferry,BC Ferries; BC Transit; National Car & Truck Rental (Vancouver Island),624.9,seasonal
Mayne Island,mayne-island,Bella Coola,bella-coola,461,TRUE,FALSE,5,4,0,,,,,,,"Ferry, city bus, city bus, city bus, city bus, rental car, then ferry.",7,ferry; local-bus; local-bus; local-bus; local-bus; rental-car; ferry,BC Ferries; BC Transit; National Car & Truck Rental (Vancouver Island),725.4,seasonal
Mayne Island,mayne-island,Bowen Island,bowen-island,59,TRUE,TRUE,8,8,7,5,ferry; local-bus; skytrain; bus; ferry,BC Ferries; TransLink; Squamish Connector,,seasonal,TRUE,"Ferry, city bus, SkyTrain, coach bus, then ferry.",5,ferry; local-bus; skytrain; bus; ferry,BC Ferries; TransLink; Squamish Connector,,seasonal
Mayne Island,mayne-island,Brentwood Bay,brentwood-bay,32,TRUE,TRUE,2,2,2,1,ferry,BC Ferries,32.4,,TRUE,One ferry does it.,1,ferry,BC Ferries,32.4,
Mayne Island,mayne-island,Burnaby,burnaby,48,TRUE,TRUE,4,4,3,3,ferry; local-bus; skytrain,BC Ferries; TransLink,,,TRUE,"Ferry, city bus, then SkyTrain.",3,ferry; local-bus; skytrain,BC Ferries; TransLink,,
Mayne Island,mayne-island,Burns Lake,burns-lake,622,TRUE,TRUE,5,5,4,5,ferry; local-bus; skytrain; intercity-train; intercity-train,BC Ferries; TransLink; VIA Rail,,limited,FALSE,"Ferry, city bus, SkyTrain, train, then train.",5,ferry; local-bus; skytrain; intercity-train; intercity-train,BC Ferries; TransLink; VIA Rail,,limited
Mayne Island,mayne-island,"Calgary, AB",calgary,705,TRUE,TRUE,6,6,5,4,ferry; local-bus; skytrain; bus,BC Ferries; TransLink; Ebus,,,TRUE,"Ferry, city bus, SkyTrain, then coach bus.",4,ferry; local-bus; skytrain; bus,BC Ferries; TransLink; Ebus,,
Mayne Island,mayne-island,Campbell River,campbell-river,191,TRUE,FALSE,8,4,0,,,,,,,"Ferry, city bus, city bus, city bus, city bus, then rental car.",6,ferry; local-bus; local-bus; local-bus; local-bus; rental-car,BC Ferries; BC Transit; National Car & Truck Rental (Vancouver Island),289.9,
Mayne Island,mayne-island,Castlegar,castlegar,415,TRUE,TRUE,3,3,2,4,ferry; local-bus; skytrain; bus,BC Ferries; TransLink; Mountain Man Mike's,,limited,FALSE,"Ferry, city bus, SkyTrain, then coach bus.",4,ferry; local-bus; skytrain; bus,BC Ferries; TransLink; Mountain Man Mike's,,limited
Mayne Island,mayne-island,Chase,chase,341,TRUE,TRUE,5,5,4,4,ferry; local-bus; skytrain; bus,BC Ferries; TransLink; Ebus,,,TRUE,"Ferry, city bus, SkyTrain, then coach bus.",4,ferry; local-bus; skytrain; bus,BC Ferries; TransLink; Ebus,,
Mayne Island,mayne-island,Chilliwack,chilliwack,106,TRUE,TRUE,7,7,6,4,ferry; local-bus; skytrain; bus,BC Ferries; TransLink; Mountain Man Mike's,,limited,TRUE,"Ferry, city bus, SkyTrain, then city bus.",4,ferry; local-bus; skytrain; local-bus,BC Ferries; TransLink; BC Transit,,
